,Mejor,Media,Std
0,5143790.286348732,5201626.064309315,22589.53700999897
1,5143790.286348732,5190759.690536663,22350.078827582056
2,5124556.798250229,5184926.411534769,21709.03705935669
3,5124556.798250229,5178446.632580092,22029.75154570768
4,5124556.798250229,5172148.519659572,20937.89508815973
5,5124165.803878769,5171463.624246399,20525.686752735077
6,5118634.683116101,5168801.868239803,17893.607392787864
7,5118634.683116101,5167306.998717267,17757.35222987731
8,5118634.683116101,5169458.158340899,18760.47684635165
9,5110181.299544378,5167967.076535794,19582.99490426636
10,5110181.299544378,5170495.243597841,23460.709416362355
11,5110181.299544378,5167176.321982538,24006.608492827472
12,5100523.802729924,5162400.976911156,20526.54916757521
13,5100523.802729924,5156096.761801734,21136.60476526771
14,5100523.802729924,5156794.164116199,22389.959984174773
15,5094327.552888528,5155387.697104756,21008.063325861323
16,5094026.504014461,5152716.832922432,18161.34587245992
17,5094026.504014461,5152861.19701514,20412.074438818483
18,5094026.504014461,5150244.00948032,18976.30713903129
19,5094026.504014461,5146699.68427238,18217.926011134077
20,5094026.504014461,5147434.540064543,16483.079557498306
21,5094026.504014461,5143593.795013582,15967.324506028572
22,5094026.504014461,5142365.063850828,20873.412872462755
23,5094026.504014461,5140941.672044075,20961.24196813363
24,5093902.951994793,5139085.321816112,20905.795261565283
25,5093545.426628342,5137586.881918242,19367.03410271042
26,5093545.426628342,5139718.405606505,20924.836864186087
27,5074602.679260636,5137668.040282179,18534.060272113984
28,5074602.679260636,5132651.460776389,20564.700508362344
29,5074602.679260636,5128237.355790918,22006.42932310017
30,5074602.679260636,5122497.743701763,21411.870402783898
31,5074281.841940346,5123742.322794873,22832.97799430756
32,5074281.841940346,5119236.676652313,22704.946874461177
33,5069880.338923184,5115126.762367135,24234.783680796136
34,5069880.338923184,5103915.642254217,18433.3245186228
35,5066710.267922293,5097250.835091437,16475.29958386015
36,5064817.634406966,5089893.371754475,12919.411004215222
37,5063610.59594113,5084118.22962328,12606.044757152264
38,5053949.9130891785,5079823.742216631,11106.644992582716
39,5053949.9130891785,5076152.311876845,11940.467186946613
40,5046398.811901879,5075045.8249182245,11146.293959251418
41,5046398.811901879,5072843.33135155,13985.20614570446
42,5030697.320525468,5066866.93128253,11763.27955644894
43,5030697.320525468,5060682.377961544,12878.321518761582
44,5028586.952834445,5055931.305977607,13136.994706892074
45,5024051.534530494,5052372.772429259,11816.890991364242
46,5024051.534530494,5048817.994831327,12045.270954589903
47,5011830.5120762,5044128.342240999,11055.41704590182
48,5011830.5120762,5039868.33630274,10413.871821465347
49,5011830.5120762,5035642.698301351,9872.861392002504
50,5010326.09503736,5030831.891822638,9593.875803050363
51,5005626.930741958,5027004.537297342,9486.272918092856
52,5004473.694929275,5023006.507062006,9058.715087277302
53,5001675.216109307,5018709.193448936,8320.398399159758
54,4997081.357769291,5015132.310278351,8332.457074052645
55,4997081.357769291,5010512.143840197,7417.140080755938
56,4996002.910243586,5007764.532810693,6170.886355841623
57,4982568.314908958,5005976.999615367,6805.560040328006
58,4982568.314908958,5003586.827598755,7718.895319196623
59,4982568.314908958,4999350.065030676,6487.905950191628
60,4982568.314908958,4996943.2707423065,6584.461167036829
61,4977061.742266588,4993942.011950519,6497.795784197176
62,4973064.395984899,4991242.407537319,7134.7587263525065
63,4973064.395984899,4988275.508369508,6068.516739662446
64,4970995.490888654,4986220.671624187,5783.066061655529
65,4969679.519653783,4982675.952985683,5431.683735501122
66,4969679.519653783,4980197.025260337,6026.702935181805
67,4960985.772698586,4978416.5979732005,6194.086640113281
68,4959860.576169413,4975925.133589502,5547.651064801091
69,4959860.576169413,4973855.949259473,5695.810175137031
70,4959860.576169413,4971175.909251357,6845.53403295406
71,4953127.60715936,4968454.3581591705,6196.019859273335
72,4951211.800685825,4966357.091491982,5286.224395806089
73,4951211.800685825,4964954.690788604,5309.389012307304
74,4950967.139669281,4963023.457036835,5380.532256694025
75,4950967.139669281,4961375.972453091,5553.277849477171
76,4949338.360017832,4958790.178284525,5004.31734904316
77,4943468.0223746095,4956343.845923103,5760.519675708555
78,4942234.649249946,4953361.694040275,4766.700735781193
79,4942085.82720803,4951534.455695297,4828.403026023232
80,4941289.221551682,4950136.609188408,4535.38523758107
